,Rank ↑↓,Team,Current Point,Prev. Point,Prev. Rank
0,1,Argentina (ARG),1843.73,1844,1
1,2,France (FRA),1843.54,1844,2
2,3,Brazil (BRA),1828.27,1828,3
3,4,England (ENG),1797.39,1797,4
4,5,Belgium (BEL),1788.55,1789,5
5,6,Croatia (CRO),1742.55,1743,6
6,7,Netherlands (NED),1731.23,1731,7
7,8,Italy (ITA),1726.58,1727,8
8,9,Portugal (POR),1718.25,1718,9
9,10,Spain (ESP),1703.45,1703,10
10,"atOptions = {  'key' : '70c6397f984309008567c72764ad34da',  'format' : 'iframe',  'height' : 90,  'width' : 728,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/70c6397f984309008567c72764ad34da/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '70c6397f984309008567c72764ad34da',  'format' : 'iframe',  'height' : 90,  'width' : 728,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/70c6397f984309008567c72764ad34da/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '70c6397f984309008567c72764ad34da',  'format' : 'iframe',  'height' : 90,  'width' : 728,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/70c6397f984309008567c72764ad34da/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '70c6397f984309008567c72764ad34da',  'format' : 'iframe',  'height' : 90,  'width' : 728,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/70c6397f984309008567c72764ad34da/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '70c6397f984309008567c72764ad34da',  'format' : 'iframe',  'height' : 90,  'width' : 728,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/70c6397f984309008567c72764ad34da/invoke.js""></scr' + 'ipt>');"
11,11,USA (USA),1674.48,1674,11
12,12,Mexico (MEX),1665.59,1666,12
13,13,Switzerland (SUI),1661.12,1661,13
14,14,Morocco (MAR),1655.50,1656,14
15,15,Germany (GER),1636.32,1636,15
16,16,Uruguay (URU),1633.13,1633,16
17,17,Colombia (COL),1624.91,1625,17
18,18,Senegal (SEN),1612.61,1613,18
19,19,Denmark (DEN),1597.37,1597,19
20,20,Japan (JPN),1595.96,1596,20
21,21,Peru (PER),1561.20,1561,21
22,"atOptions = {  'key' : '4a29ac922b9db112c7720dfb68eb9582',  'format' : 'iframe',  'height' : 50,  'width' : 320,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/4a29ac922b9db112c7720dfb68eb9582/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '4a29ac922b9db112c7720dfb68eb9582',  'format' : 'iframe',  'height' : 50,  'width' : 320,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/4a29ac922b9db112c7720dfb68eb9582/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '4a29ac922b9db112c7720dfb68eb9582',  'format' : 'iframe',  'height' : 50,  'width' : 320,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/4a29ac922b9db112c7720dfb68eb9582/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '4a29ac922b9db112c7720dfb68eb9582',  'format' : 'iframe',  'height' : 50,  'width' : 320,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/4a29ac922b9db112c7720dfb68eb9582/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '4a29ac922b9db112c7720dfb68eb9582',  'format' : 'iframe',  'height' : 50,  'width' : 320,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/4a29ac922b9db112c7720dfb68eb9582/invoke.js""></scr' + 'ipt>');"
23,22,IR Iran (IRN),1556.59,1557,22
24,23,Sweden (SWE),1547.11,1547,23
25,24,Ukraine (UKR),1541.25,1541,24
26,25,Serbia (SRB),1539.03,1539,25
27,26,Poland (POL),1536.99,1537,26
28,27,Australia (AUS),1530.45,1530,27
29,28,Korea Republic (KOR),1529.30,1529,28
30,29,Austria (AUT),1528.06,1528,29
31,30,Scotland (SCO),1520.24,1520,30
32,31,Tunisia (TUN),1516.66,1517,31
33,32,Chile (CHI),1511.31,1511,32
34,"atOptions = {  'key' : '70c6397f984309008567c72764ad34da',  'format' : 'iframe',  'height' : 90,  'width' : 728,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/70c6397f984309008567c72764ad34da/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '70c6397f984309008567c72764ad34da',  'format' : 'iframe',  'height' : 90,  'width' : 728,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/70c6397f984309008567c72764ad34da/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '70c6397f984309008567c72764ad34da',  'format' : 'iframe',  'height' : 90,  'width' : 728,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/70c6397f984309008567c72764ad34da/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '70c6397f984309008567c72764ad34da',  'format' : 'iframe',  'height' : 90,  'width' : 728,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/70c6397f984309008567c72764ad34da/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '70c6397f984309008567c72764ad34da',  'format' : 'iframe',  'height' : 90,  'width' : 728,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/70c6397f984309008567c72764ad34da/invoke.js""></scr' + 'ipt>');"
35,33,Algeria (ALG),1511.23,1511,33
36,34,Egypt (EGY),1509.89,1510,34
37,35,Wales (WAL),1506.04,1506,35
38,36,Hungary (HUN),1504.57,1505,36
39,37,Czechia (CZE),1503.69,1504,37
40,38,Russia (RUS),1495.53,1496,38
41,39,Nigeria (NGA),1486.48,1486,39
42,40,Ecuador (ECU),1486.47,1486,40
43,41,Türkiye (TUR),1484.47,1484,41
44,42,Cameroon (CMR),1470.97,1471,42
45,43,Canada (CAN),1458.58,1459,43
46,"atOptions = {  'key' : '4a29ac922b9db112c7720dfb68eb9582',  'format' : 'iframe',  'height' : 50,  'width' : 320,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/4a29ac922b9db112c7720dfb68eb9582/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '4a29ac922b9db112c7720dfb68eb9582',  'format' : 'iframe',  'height' : 50,  'width' : 320,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/4a29ac922b9db112c7720dfb68eb9582/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '4a29ac922b9db112c7720dfb68eb9582',  'format' : 'iframe',  'height' : 50,  'width' : 320,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/4a29ac922b9db112c7720dfb68eb9582/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '4a29ac922b9db112c7720dfb68eb9582',  'format' : 'iframe',  'height' : 50,  'width' : 320,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/4a29ac922b9db112c7720dfb68eb9582/invoke.js""></scr' + 'ipt>');","atOptions = {  'key' : '4a29ac922b9db112c7720dfb68eb9582',  'format' : 'iframe',  'height' : 50,  'width' : 320,  'params' : {}  };  document.write('<scr' + 'ipt type=""text/javascript"" src=""http' + (location.protocol === 'https:' ? 's' : '') + '://www.creativeformatsnetwork.com/4a29ac922b9db112c7720dfb68eb9582/invoke.js""></scr' + 'ipt>');"
47,44,Norway (NOR),1458.47,1458,44
48,45,Panama (PAN),1453.94,1454,45
49,46,Costa Rica (CRC),1453.56,1454,46
50,47,Slovakia (SVK),1447.05,1447,47
51,48,Romania (ROU),1443.98,1444,48
52,49,Paraguay (PAR),1442.64,1443,49
53,50,Greece (GRE),1441.06,1441,50
